 itemName, reqLev, mainstat, substat1, substat2, attmag, set, bossDMG, penetrate, itemImg
 파프니르 미스텔테인,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 트윈클리버,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 골디언해머,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 페니텐시아,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 배틀클리퍼,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 라이트닝어,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 브류나크,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 문글레이브,150,40,40,0,153,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 데스브링어,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 빅 마운틴,150,40,40,0,128,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 포기브니스,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나테이커,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나크라운,150,40,40,0,204,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나크래들,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 ESP리미터,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 매직 건틀릿,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 윈드체이서,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 윈드윙슈터,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 에인션트 보우,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 듀얼윈드윙,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
